Title,Date,Rating,Review
Messy for the wrong reasons,2024-05-08,2,"Below average meal. The burger arrived lukewarm and the texture was off. The onion rings was fine, but the main item lacked flavor and felt overpriced for what it was. I had to add ketchup at home to wake it up a bit."
Excellent late-night bite,2025-11-04,4,"Good burger overall. The plant-based patty was perfectly seared and the special sauce tasted fresh. The soft bun was slightly messy, but the flavor was there. Service was fast and I'd order it again. Packaging kept things together better than expected."
Highly recommend,2026-03-04,4,"A solid meal late at night. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. The fries could have been crispier."
Good but not amazing,2021-04-01,3,"Not bad, but not something I'd go out of my way for. The burger was acceptable and filling, though it needed more seasoning. The melted cheddar, jalapeños, caramelized onions helped, but overall it felt middle-of-the-road. I also appreciated that the order was accurate."
Great flavor balance,2022-05-05,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the caramelized onions, pickles, bacon, and the cola was decent too. Not perfect, but definitely enjoyable. The fries could have been crispier."
Average burger experience,2025-03-19,3,"Pretty average experience at the mall location. The burger looked great, but the taste didn't fully deliver. Some bites were good, others felt a little plain. Service was efficient. I had to add ketchup at home to wake it up a bit."
Fresh ingredients all around,2023-10-03,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the lettuce and tomato, crispy onions, caramelized onions, and the sweet potato fries was decent too. Not perfect, but definitely enjoyable. Portion size was fair for the price."
Flavor packed and messy,2021-02-04,5,"This was one of the better burgers I've had lately. The thick patty tasted fresh and well-seasoned, and the special sauce, bacon, lettuce and tomato worked really well together on the soft bun. Everything came out hot, and the staff was helpful from start to finish. Portion size was fair for the price."
Average burger experience,2022-10-27,3,"Pretty average experience at downtown. The burger looked great, but the taste didn't fully deliver. Some bites were good, others felt a little plain. Service was friendly. Packaging kept things together better than expected."
Poor service this time,2025-09-06,1,"Really disappointing. The burger came out barely warm, the patty was cold, and the toasted bun was stale. Service was rushed, and I wouldn't order this again. Portion size was fair for the price."
Average burger experience,2025-04-07,3,"Not bad, but not something I'd go out of my way for. The burger was acceptable and filling, though it needed more seasoning. The jalapeños, special sauce, bacon helped, but overall it felt middle-of-the-road. Packaging kept things together better than expected."
"Crispy fries, solid burger",2024-01-08,4,"Good burger overall. The single patty was perfectly seared and the crispy onions, avocado, special sauce tasted fresh. The sesame bun was slightly messy, but the flavor was there. Service was efficient and I'd order it again. Packaging kept things together better than expected."
Cooked just right,2023-03-07,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the pickles, pepper jack, and the fries was decent too. Not perfect, but definitely enjoyable. I also appreciated that the order was accurate."
Juicy and satisfying,2021-09-12,4,"A solid meal after work. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. Packaging kept things together better than expected."
Cooked just right,2023-01-19,4,"Good burger overall. The smash patty was perfectly seared and the jalapeños, lettuce and tomato tasted fresh. The soft bun was slightly messy, but the flavor was there. Service was fast and I'd order it again. I had to add ketchup at home to wake it up a bit."
Exactly what I wanted,2022-12-10,4,"A solid meal after work. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. The fries could have been crispier."
Flavor packed and messy,2023-08-28,4,"A solid meal for lunch. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. The fries could have been crispier."
Would not return,2021-06-29,2,"I wanted to like this more, but it was disappointing. The single patty was greasy, and the brioche bun fell apart quickly. The avocado, crispy onions couldn't save it, and service felt disorganized. Packaging kept things together better than expected."
"Crispy fries, solid burger",2022-04-27,5,"This was one of the better burgers I've had lately. The smash patty tasted fresh and well-seasoned, and the caramelized onions, crispy onions worked really well together on the toasted bun. Everything came out hot, and the staff was helpful from start to finish. Portion size was fair for the price."
Not bad,2022-05-19,3,"The burger was okay. The plant-based patty had decent flavor, but the sesame bun got soggy halfway through. The jalapeños were fine, and the lemonade was average. Nothing terrible, just not memorable. The fries could have been crispier."
Not bad,2021-04-14,3,"Not bad, but not something I'd go out of my way for. The burger was acceptable and filling, though it needed more seasoning. The lettuce and tomato, jalapeños, bacon helped, but overall it felt middle-of-the-road. I had to add ketchup at home to wake it up a bit."
Exactly what I wanted,2021-07-20,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the lettuce and tomato most, and even the fries was better than expected. I'd happily come back."
"Crispy fries, solid burger",2021-01-31,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the melted cheddar most, and even the sweet potato fries was better than expected. I'd happily come back. Portion size was fair for the price."
Good but not amazing,2025-10-11,3,"Pretty average experience at the food court. The burger looked great, but the taste didn't fully deliver. Some bites were good, others felt a little plain. Service was slow. The fries could have been crispier."
A really good burger,2024-09-29,4,"A solid meal after work. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive."
Exactly what I wanted,2022-04-22,4,"A solid meal after work. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. Packaging kept things together better than expected."
Bland and forgettable,2022-08-13,1,"Really disappointing. The burger came out cold, the patty was bland, and the sesame bun was stale. Service was disorganized, and I wouldn't order this again. I had to add ketchup at home to wake it up a bit."
Would not return,2021-10-08,2,"There were a few decent bites, but overall this missed the mark. The burger seemed rushed, the toppings weren't balanced, and the whole thing felt underwhelming. Packaging kept things together better than expected."
Not worth the price,2024-09-29,2,"I wanted to like this more, but it was disappointing. The thick patty was overcooked, and the soft bun fell apart quickly. The jalapeños, bacon, pickles couldn't save it, and service felt slow. Portion size was fair for the price."
Classic done right,2022-07-09,4,"Good burger overall. The plant-based patty was tender and the grilled mushrooms tasted fresh. The soft bun was slightly messy, but the flavor was there. Service was helpful and I'd order it again. I had to add ketchup at home to wake it up a bit."
Flavor packed and messy,2022-08-08,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the grilled mushrooms, lettuce and tomato, melted cheddar, and the sweet potato fries was decent too. Not perfect, but definitely enjoyable. I also appreciated that the order was accurate."
Overcooked and dry,2025-09-22,2,"Below average meal. The burger arrived lukewarm and the texture was off. The sweet potato fries was fine, but the main item lacked flavor and felt overpriced for what it was. Portion size was fair for the price."
Classic done right,2024-03-11,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the lettuce and tomato, and the sweet potato fries was decent too. Not perfect, but definitely enjoyable. I also appreciated that the order was accurate."
Messy for the wrong reasons,2024-11-21,2,"There were a few decent bites, but overall this missed the mark. The burger seemed rushed, the toppings weren't balanced, and the whole thing felt underwhelming. I had to add ketchup at home to wake it up a bit."
Flavor packed and messy,2025-03-29,5,"Stopped by the mall location during a quick break and the burger was excellent. The double patty was perfectly seared, the toasted bun held everything together, and the pickles, pepper jack added a lot of flavor. Service was friendly and the milkshake rounded out the meal nicely."
Not bad,2023-09-02,3,"Not bad, but not something I'd go out of my way for. The burger was acceptable and filling, though it needed more seasoning. The jalapeños helped, but overall it felt middle-of-the-road. I had to add ketchup at home to wake it up a bit."
Cheesy in the best way,2023-10-20,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the melted cheddar, avocado, and the onion rings was decent too. Not perfect, but definitely enjoyable. The fries could have been crispier."
Fresh ingredients all around,2021-09-07,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the bacon most, and even the fries was better than expected. I'd happily come back. Portion size was fair for the price."
Would order again,2022-07-18,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the melted cheddar, and the onion rings was decent too. Not perfect, but definitely enjoyable. Packaging kept things together better than expected."
Would not return,2026-02-15,2,"I wanted to like this more, but it was disappointing. The thick patty was bland, and the potato bun fell apart quickly. The pickles, avocado couldn't save it, and service felt disorganized. Portion size was fair for the price."
Reasonably good,2024-05-05,3,"The burger was okay. The single patty had decent flavor, but the soft bun got soggy halfway through. The jalapeños were fine, and the milkshake was average. Nothing terrible, just not memorable."
Cheesy in the best way,2023-12-24,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the pepper jack, crispy onions, special sauce most, and even the sweet potato fries was better than expected. I'd happily come back. Packaging kept things together better than expected."
Fresh ingredients all around,2025-06-27,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the pepper jack, grilled mushrooms most, and even the cola was better than expected. I'd happily come back. The fries could have been crispier."
Flavor packed and messy,2021-07-11,4,"A solid meal for lunch. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. I had to add ketchup at home to wake it up a bit."
Excellent late-night bite,2022-04-27,5,"This was one of the better burgers I've had lately. The single patty tasted fresh and rich, and the jalapeños worked really well together on the sesame bun. Everything came out hot, and the staff was efficient from start to finish. Packaging kept things together better than expected."
Excellent late-night bite,2022-01-21,4,"A solid meal after work. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive."
Best lunch stop,2022-07-08,4,"Good burger overall. The thick patty was tender and the lettuce and tomato tasted fresh. The brioche bun was slightly messy, but the flavor was there. Service was efficient and I'd order it again."
Surprisingly great burger,2024-06-09,5,"Stopped by the airport branch during a quick break and the burger was excellent. The thick patty was tender, the toasted bun held everything together, and the jalapeños, avocado added a lot of flavor. Service was fast and the fries rounded out the meal nicely. The fries could have been crispier."
Poor service this time,2023-11-23,2,"Below average meal. The burger arrived lukewarm and the texture was off. The cola was fine, but the main item lacked flavor and felt overpriced for what it was."
Perfect smash burger,2026-01-09,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the grilled mushrooms, special sauce, caramelized onions, and the cola was decent too. Not perfect, but definitely enjoyable."
Flavor packed and messy,2024-03-11,4,"Good burger overall. The thick patty was crispy-edged and the avocado, grilled mushrooms tasted fresh. The toasted bun was slightly messy, but the flavor was there. Service was friendly and I'd order it again. I also appreciated that the order was accurate."
Really underwhelming,2023-02-26,1,"Not good at all. The burger was bland, greasy, and overdone at the same time. I waited too long for food that just wasn't worth finishing. Packaging kept things together better than expected."
Exactly what I wanted,2021-08-07,5,"Stopped by the neighborhood spot late at night and the burger was excellent. The smash patty was crispy-edged, the sesame bun held everything together, and the pickles added a lot of flavor. Service was fast and the cola rounded out the meal nicely. I also appreciated that the order was accurate."
"Big portions, fair price",2023-06-16,5,"Stopped by downtown for lunch and the burger was excellent. The thick patty was well-seasoned, the brioche bun held everything together, and the crispy onions, bacon added a lot of flavor. Service was fast and the fries rounded out the meal nicely."
"Big portions, fair price",2022-03-18,4,"Good burger overall. The single patty was well-seasoned and the jalapeños, grilled mushrooms tasted fresh. The potato bun was slightly messy, but the flavor was there. Service was efficient and I'd order it again. I had to add ketchup at home to wake it up a bit."
Delicious and consistent,2022-07-08,4,"Good burger overall. The double patty was well-seasoned and the pepper jack, caramelized onions tasted fresh. The soft bun was slightly messy, but the flavor was there. Service was friendly and I'd order it again. Portion size was fair for the price."
"Crispy fries, solid burger",2021-08-08,5,"Stopped by the mall location for lunch and the burger was excellent. The thick patty was tender, the soft bun held everything together, and the jalapeños, melted cheddar added a lot of flavor. Service was fast and the onion rings rounded out the meal nicely. I had to add ketchup at home to wake it up a bit."
Missed the mark,2024-09-21,2,"Below average meal. The burger arrived lukewarm and the texture was off. The fries was fine, but the main item lacked flavor and felt overpriced for what it was."
Best lunch stop,2023-01-14,4,"Good burger overall. The plant-based patty was crispy-edged and the avocado tasted fresh. The potato bun was slightly messy, but the flavor was there. Service was friendly and I'd order it again. I had to add ketchup at home to wake it up a bit."
Cheesy in the best way,2021-11-24,4,"Good burger overall. The double patty was well-seasoned and the jalapeños, caramelized onions tasted fresh. The potato bun was slightly messy, but the flavor was there. Service was helpful and I'd order it again. Packaging kept things together better than expected."
Messy for the wrong reasons,2023-01-29,2,"I wanted to like this more, but it was disappointing. The single patty was overcooked, and the brioche bun fell apart quickly. The bacon couldn't save it, and service felt rushed. Portion size was fair for the price."
Mixed feelings,2023-06-23,3,"Pretty average experience at the drive-thru. The burger looked great, but the taste didn't fully deliver. Some bites were good, others felt a little plain. Service was efficient. I also appreciated that the order was accurate."
A really good burger,2021-06-01,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the bacon, avocado, and the fries was decent too. Not perfect, but definitely enjoyable. The fries could have been crispier."
"Crispy fries, solid burger",2025-03-30,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the lettuce and tomato, crispy onions most, and even the no side was better than expected. I'd happily come back."
Classic done right,2023-02-08,4,"A solid meal on a road trip. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. I also appreciated that the order was accurate."
Fine for a quick meal,2026-02-12,3,"Not bad, but not something I'd go out of my way for. The burger was acceptable and filling, though it needed more seasoning. The special sauce, bacon helped, but overall it felt middle-of-the-road. Packaging kept things together better than expected."
Surprisingly great burger,2022-01-15,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the lettuce and tomato most, and even the no side was better than expected. I'd happily come back. The fries could have been crispier."
Great flavor balance,2022-06-19,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the special sauce, pepper jack, pickles most, and even the lemonade was better than expected. I'd happily come back. The fries could have been crispier."
Fresh ingredients all around,2025-03-13,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the lettuce and tomato, pepper jack most, and even the sweet potato fries was better than expected. I'd happily come back. I had to add ketchup at home to wake it up a bit."
"Some hits, some misses",2025-04-30,3,"The burger was okay. The double patty had decent flavor, but the potato bun got soggy halfway through. The grilled mushrooms, pickles, lettuce and tomato were fine, and the onion rings was average. Nothing terrible, just not memorable. I also appreciated that the order was accurate."
"Big portions, fair price",2022-10-31,5,"Stopped by the mall location late at night and the burger was excellent. The single patty was perfectly seared, the soft bun held everything together, and the bacon, pickles, melted cheddar added a lot of flavor. Service was efficient and the lemonade rounded out the meal nicely. Packaging kept things together better than expected."
Best lunch stop,2022-04-22,5,"Stopped by the mall location for lunch and the burger was excellent. The plant-based patty was rich, the potato bun held everything together, and the special sauce, melted cheddar, pepper jack added a lot of flavor. Service was helpful and the fries rounded out the meal nicely."
Highly recommend,2025-09-29,4,"Good burger overall. The double patty was perfectly seared and the caramelized onions, grilled mushrooms tasted fresh. The brioche bun was slightly messy, but the flavor was there. Service was helpful and I'd order it again. I also appreciated that the order was accurate."
Overcooked and dry,2022-11-20,2,"Below average meal. The burger arrived lukewarm and the texture was off. The fries was fine, but the main item lacked flavor and felt overpriced for what it was. Portion size was fair for the price."
Good but not amazing,2022-10-14,3,"The burger was okay. The single patty had decent flavor, but the potato bun got soggy halfway through. The jalapeños, crispy onions were fine, and the fries was average. Nothing terrible, just not memorable. I also appreciated that the order was accurate."
Fast service and tasty food,2021-06-06,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the special sauce, lettuce and tomato, and the sweet potato fries was decent too. Not perfect, but definitely enjoyable. Portion size was fair for the price."
Cooked just right,2024-12-25,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the melted cheddar, bacon most, and even the onion rings was better than expected. I'd happily come back. Portion size was fair for the price."
Not bad,2021-11-11,3,"Not bad, but not something I'd go out of my way for. The burger was acceptable and filling, though it needed more seasoning. The caramelized onions, jalapeños helped, but overall it felt middle-of-the-road. I also appreciated that the order was accurate."
Highly recommend,2021-02-27,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the grilled mushrooms, pickles, and the milkshake was decent too. Not perfect, but definitely enjoyable. The fries could have been crispier."
A really good burger,2022-04-25,5,"This was one of the better burgers I've had lately. The single patty tasted fresh and well-seasoned, and the crispy onions, melted cheddar, bacon worked really well together on the sesame bun. Everything came out hot, and the staff was fast from start to finish."
Best lunch stop,2021-06-22,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the pickles, avocado, and the milkshake was decent too. Not perfect, but definitely enjoyable."
Flavor packed and messy,2021-05-10,5,"This was one of the better burgers I've had lately. The single patty tasted fresh and juicy, and the caramelized onions, pepper jack, pickles worked really well together on the potato bun. Everything came out hot, and the staff was helpful from start to finish. Portion size was fair for the price."
Delicious and consistent,2025-07-19,4,"Good burger overall. The smash patty was juicy and the caramelized onions tasted fresh. The toasted bun was slightly messy, but the flavor was there. Service was friendly and I'd order it again. Portion size was fair for the price."
Good but not amazing,2025-01-24,3,"Not bad, but not something I'd go out of my way for. The burger was acceptable and filling, though it needed more seasoning. The grilled mushrooms helped, but overall it felt middle-of-the-road."
Surprisingly great burger,2021-09-07,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the grilled mushrooms, caramelized onions, and the onion rings was decent too. Not perfect, but definitely enjoyable. I also appreciated that the order was accurate."
Not bad,2024-06-15,3,"The burger was okay. The smash patty had decent flavor, but the sesame bun got soggy halfway through. The lettuce and tomato, caramelized onions, grilled mushrooms were fine, and the sweet potato fries was average. Nothing terrible, just not memorable. Portion size was fair for the price."
Mixed feelings,2024-02-19,3,"Pretty average experience at the airport branch. The burger looked great, but the taste didn't fully deliver. Some bites were good, others felt a little plain. Service was confusing. I had to add ketchup at home to wake it up a bit."
"Big portions, fair price",2024-07-16,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the melted cheddar, and the fries was decent too. Not perfect, but definitely enjoyable. Packaging kept things together better than expected."
Excellent late-night bite,2025-10-15,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the lettuce and tomato most, and even the fries was better than expected. I'd happily come back. The fries could have been crispier."
Perfect smash burger,2025-06-12,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the melted cheddar, bacon, grilled mushrooms, and the sweet potato fries was decent too. Not perfect, but definitely enjoyable. Portion size was fair for the price."
Perfect smash burger,2022-05-31,5,"This was one of the better burgers I've had lately. The double patty tasted fresh and rich, and the caramelized onions worked really well together on the brioche bun. Everything came out hot, and the staff was fast from start to finish. I had to add ketchup at home to wake it up a bit."
A really good burger,2023-06-26,4,"A solid meal during a quick break. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. Portion size was fair for the price."
Perfect smash burger,2024-06-14,4,"A solid meal after work. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. Portion size was fair for the price."
Not bad,2021-12-31,3,"Not bad, but not something I'd go out of my way for. The burger was acceptable and filling, though it needed more seasoning. The grilled mushrooms helped, but overall it felt middle-of-the-road. I also appreciated that the order was accurate."
Disappointing visit,2022-04-17,2,"I wanted to like this more, but it was disappointing. The single patty was cold, and the toasted bun fell apart quickly. The special sauce, crispy onions couldn't save it, and service felt unfriendly. The fries could have been crispier."
Reasonably good,2021-11-17,3,"Pretty average experience at the neighborhood spot. The burger looked great, but the taste didn't fully deliver. Some bites were good, others felt a little plain. Service was efficient."
Excellent late-night bite,2023-04-30,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the lettuce and tomato, avocado, special sauce, and the lemonade was decent too. Not perfect, but definitely enjoyable. The fries could have been crispier."
Fast service and tasty food,2021-08-30,4,"A solid meal during a quick break. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. The fries could have been crispier."
Great flavor balance,2024-04-06,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the crispy onions, and the no side was decent too. Not perfect, but definitely enjoyable. I also appreciated that the order was accurate."
Nothing special,2022-10-19,3,"Pretty average experience at the airport branch. The burger looked great, but the taste didn't fully deliver. Some bites were good, others felt a little plain. Service was inattentive. Packaging kept things together better than expected."
Classic done right,2024-07-10,5,"This was one of the better burgers I've had lately. The smash patty tasted fresh and crispy-edged, and the crispy onions worked really well together on the brioche bun. Everything came out hot, and the staff was friendly from start to finish. I also appreciated that the order was accurate."
Cooked just right,2022-10-31,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the jalapeños most, and even the cola was better than expected. I'd happily come back. Portion size was fair for the price."
Average burger experience,2022-03-24,3,"Pretty average experience at the neighborhood spot. The burger looked great, but the taste didn't fully deliver. Some bites were good, others felt a little plain. Service was inattentive. Packaging kept things together better than expected."
Perfect smash burger,2024-05-23,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the caramelized onions most, and even the cola was better than expected. I'd happily come back. I also appreciated that the order was accurate."
Highly recommend,2021-05-30,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the lettuce and tomato most, and even the fries was better than expected. I'd happily come back. I had to add ketchup at home to wake it up a bit."
"Big portions, fair price",2021-08-10,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the lettuce and tomato, crispy onions, pepper jack, and the onion rings was decent too. Not perfect, but definitely enjoyable. I had to add ketchup at home to wake it up a bit."
Bland and forgettable,2023-08-06,1,"Really disappointing. The burger came out barely warm, the patty was overcooked, and the soft bun was stale. Service was rushed, and I wouldn't order this again. Packaging kept things together better than expected."
Poor service this time,2025-12-22,2,"There were a few decent bites, but overall this missed the mark. The burger seemed rushed, the toppings weren't balanced, and the whole thing felt underwhelming."
Juicy and satisfying,2021-05-08,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the pickles, and the onion rings was decent too. Not perfect, but definitely enjoyable. Portion size was fair for the price."
Disappointing visit,2021-10-11,2,"There were a few decent bites, but overall this missed the mark. The burger seemed rushed, the toppings weren't balanced, and the whole thing felt underwhelming. Portion size was fair for the price."
Juicy and satisfying,2024-02-08,5,"Stopped by the airport branch with friends and the burger was excellent. The single patty was well-seasoned, the brioche bun held everything together, and the crispy onions added a lot of flavor. Service was attentive and the no side rounded out the meal nicely. The fries could have been crispier."
Would not return,2024-08-06,2,"There were a few decent bites, but overall this missed the mark. The burger seemed rushed, the toppings weren't balanced, and the whole thing felt underwhelming. I had to add ketchup at home to wake it up a bit."
"Some hits, some misses",2025-11-06,3,"The burger was okay. The double patty had decent flavor, but the sesame bun got soggy halfway through. The special sauce were fine, and the no side was average. Nothing terrible, just not memorable. I had to add ketchup at home to wake it up a bit."
Pretty decent overall,2022-03-29,3,"Not bad, but not something I'd go out of my way for. The burger was acceptable and filling, though it needed more seasoning. The jalapeños, pepper jack helped, but overall it felt middle-of-the-road. The fries could have been crispier."
Exactly what I wanted,2021-05-10,5,"This was one of the better burgers I've had lately. The plant-based patty tasted fresh and crispy-edged, and the bacon, lettuce and tomato, pickles worked really well together on the brioche bun. Everything came out hot, and the staff was efficient from start to finish. Packaging kept things together better than expected."
Solid neighborhood spot,2022-05-20,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the grilled mushrooms, melted cheddar, crispy onions, and the onion rings was decent too. Not perfect, but definitely enjoyable. I had to add ketchup at home to wake it up a bit."
Reasonably good,2023-07-28,3,"Not bad, but not something I'd go out of my way for. The burger was acceptable and filling, though it needed more seasoning. The bacon, avocado helped, but overall it felt middle-of-the-road. The fries could have been crispier."
Perfect smash burger,2022-07-27,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the grilled mushrooms, avocado, special sauce most, and even the sweet potato fries was better than expected. I'd happily come back. Packaging kept things together better than expected."
Cold when it arrived,2025-06-27,1,"Not good at all. The burger was bland, greasy, and overdone at the same time. I waited too long for food that just wasn't worth finishing. I also appreciated that the order was accurate."
"Crispy fries, solid burger",2024-05-02,5,"Stopped by the food court after work and the burger was excellent. The double patty was juicy, the soft bun held everything together, and the pickles added a lot of flavor. Service was efficient and the no side rounded out the meal nicely. The fries could have been crispier."
Messy for the wrong reasons,2022-12-11,2,"There were a few decent bites, but overall this missed the mark. The burger seemed rushed, the toppings weren't balanced, and the whole thing felt underwhelming. The fries could have been crispier."
Would order again,2022-03-23,5,"Stopped by the food court late at night and the burger was excellent. The double patty was tender, the brioche bun held everything together, and the melted cheddar, pickles, caramelized onions added a lot of flavor. Service was quick and the sweet potato fries rounded out the meal nicely. I also appreciated that the order was accurate."
Would order again,2022-12-20,4,"A solid meal after work. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. The fries could have been crispier."
Would order again,2021-12-28,5,"Stopped by the drive-thru for lunch and the burger was excellent. The single patty was perfectly seared, the potato bun held everything together, and the lettuce and tomato, jalapeños added a lot of flavor. Service was attentive and the cola rounded out the meal nicely. I also appreciated that the order was accurate."
Fast service and tasty food,2021-05-21,5,"Stopped by the drive-thru during a quick break and the burger was excellent. The thick patty was juicy, the soft bun held everything together, and the avocado, pepper jack, caramelized onions added a lot of flavor. Service was fast and the sweet potato fries rounded out the meal nicely. Packaging kept things together better than expected."
"Crispy fries, solid burger",2023-06-07,4,"Good burger overall. The plant-based patty was juicy and the jalapeños, avocado tasted fresh. The brioche bun was slightly messy, but the flavor was there. Service was attentive and I'd order it again. Portion size was fair for the price."
Reasonably good,2021-01-01,3,"Not bad, but not something I'd go out of my way for. The burger was acceptable and filling, though it needed more seasoning. The avocado, melted cheddar, pepper jack helped, but overall it felt middle-of-the-road. I also appreciated that the order was accurate."
Cheesy in the best way,2023-09-13,5,"This was one of the better burgers I've had lately. The single patty tasted fresh and well-seasoned, and the crispy onions, pickles worked really well together on the brioche bun. Everything came out hot, and the staff was efficient from start to finish."
"Big portions, fair price",2025-08-21,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the crispy onions, pepper jack, bacon most, and even the lemonade was better than expected. I'd happily come back. Packaging kept things together better than expected."
Good but not amazing,2022-08-20,3,"Not bad, but not something I'd go out of my way for. The burger was acceptable and filling, though it needed more seasoning. The caramelized onions helped, but overall it felt middle-of-the-road. The fries could have been crispier."
Cheesy in the best way,2024-01-15,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the caramelized onions, and the lemonade was decent too. Not perfect, but definitely enjoyable. The fries could have been crispier."
Juicy and satisfying,2024-11-20,5,"This was one of the better burgers I've had lately. The thick patty tasted fresh and juicy, and the avocado worked really well together on the toasted bun. Everything came out hot, and the staff was helpful from start to finish. Portion size was fair for the price."
Reasonably good,2021-10-24,3,"Pretty average experience at the airport branch. The burger looked great, but the taste didn't fully deliver. Some bites were good, others felt a little plain. Service was slow. The fries could have been crispier."
Fast service and tasty food,2025-07-21,5,"Stopped by the mall location with friends and the burger was excellent. The smash patty was rich, the toasted bun held everything together, and the lettuce and tomato, pepper jack, avocado added a lot of flavor. Service was fast and the lemonade rounded out the meal nicely."
Delicious and consistent,2021-01-09,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the melted cheddar, lettuce and tomato most, and even the lemonade was better than expected. I'd happily come back. Packaging kept things together better than expected."
Good but not amazing,2025-11-13,3,"The burger was okay. The single patty had decent flavor, but the sesame bun got soggy halfway through. The crispy onions were fine, and the onion rings was average. Nothing terrible, just not memorable. The fries could have been crispier."
Great flavor balance,2023-06-07,4,"Good burger overall. The double patty was juicy and the pepper jack, special sauce, grilled mushrooms tasted fresh. The toasted bun was slightly messy, but the flavor was there. Service was attentive and I'd order it again. Portion size was fair for the price."
Messy for the wrong reasons,2025-08-22,1,"One of the weaker burger meals I've had. The meat tasted off, the toppings were sloppy, and the sandwich fell apart immediately. Even the milkshake couldn't make up for it. The fries could have been crispier."
Okay in a pinch,2021-10-31,3,"The burger was okay. The plant-based patty had decent flavor, but the toasted bun got soggy halfway through. The bacon, avocado were fine, and the cola was average. Nothing terrible, just not memorable. Portion size was fair for the price."
